Date,Adj Close SPY
1/20/2006,122.77
1/23/2006,123.21
1/24/2006,123.33
1/25/2006,123.44
1/26/2006,124.12
1/27/2006,125.27
1/30/2006,125.17
1/31/2006,124.26
2/1/2006,125.12
2/2/2006,123.67
2/3/2006,123.06
2/6/2006,123.38
2/7/2006,122.29
2/8/2006,123.4
2/9/2006,123.2
2/10/2006,123.42
2/13/2006,123.2
2/14/2006,124.5
2/15/2006,124.94
2/16/2006,125.88
2/17/2006,125.53
2/21/2006,125.22
2/22/2006,125.98
2/23/2006,125.8
2/24/2006,126.12
2/27/2006,126.17
2/28/2006,124.97
3/1/2006,126.08
3/2/2006,126.07
3/3/2006,125.49
3/6/2006,124.91
3/7/2006,124.72
3/8/2006,124.98
3/9/2006,124.14
3/10/2006,125.32
3/13/2006,125.55
3/14/2006,126.87
3/15/2006,127.43
3/16/2006,127.7
3/17/2006,127.8
3/20/2006,127.6
3/21/2006,126.8
3/22/2006,127.57
3/23/2006,127.31
3/24/2006,127.4
3/27/2006,127.22
3/28/2006,126.43
3/29/2006,127.23
3/30/2006,127
3/31/2006,127.03
4/3/2006,126.93
4/4/2006,127.75
4/5/2006,128.19
4/6/2006,128.05
4/7/2006,126.75
4/10/2006,126.94
4/11/2006,125.87
4/12/2006,126.1
4/13/2006,125.94
4/17/2006,125.89
4/18/2006,127.88
4/19/2006,128.13
4/20/2006,128.3
4/21/2006,128.32
4/24/2006,128.09
4/25/2006,127.56
4/26/2006,127.59
4/27/2006,128.21
4/28/2006,128.64
5/1/2006,127.59
5/2/2006,128.55
5/3/2006,128.07
5/4/2006,128.53
5/5/2006,129.66
5/8/2006,129.51
5/9/2006,129.76
5/10/2006,129.69
5/11/2006,128.13
5/12/2006,126.45
5/15/2006,126.71
5/16/2006,126.52
5/17/2006,124.12
5/18/2006,123.49
5/19/2006,124.36
5/22/2006,123.41
5/23/2006,122.47
5/24/2006,123.45
5/25/2006,124.98
5/26/2006,125.61
5/30/2006,123.38
5/31/2006,124.76
6/1/2006,125.96
6/2/2006,126.22
6/5/2006,124.38
6/6/2006,124.08
6/7/2006,123.15
6/8/2006,123.04
6/9/2006,122.65
6/12/2006,121.32
6/13/2006,119.91
6/14/2006,120.84
6/15/2006,123.4
6/16/2006,122.5
6/19/2006,121.54
6/20/2006,121.95
6/21/2006,122.86
6/22/2006,122.32
6/23/2006,122.3
6/26/2006,122.84
6/27/2006,121.78
6/28/2006,122.6
6/29/2006,125.08
6/30/2006,125.09
7/3/2006,125.6
7/5/2006,124.88
7/6/2006,125.24
7/7/2006,124.43
7/10/2006,124.66
7/11/2006,125.21
7/12/2006,123.88
7/13/2006,121.86
7/14/2006,121.39
7/17/2006,121.21
7/18/2006,121.83
7/19/2006,123.52
7/20/2006,122.68
7/21/2006,121.81
7/24/2006,124.04
7/25/2006,124.48
7/26/2006,124.64
7/27/2006,124.53
7/28/2006,125.77
7/31/2006,125.65
8/1/2006,125.03
8/2/2006,125.87
8/3/2006,126.21
8/4/2006,125.99
8/7/2006,125.75
8/8/2006,125.21
8/9/2006,124.79
8/10/2006,125.18
8/11/2006,124.82
8/14/2006,124.92
8/15/2006,126.41
8/16/2006,127.47
8/17/2006,127.79
8/18/2006,128.44
8/21/2006,127.89
8/22/2006,127.88
8/23/2006,127.52
8/24/2006,127.42
8/25/2006,127.57
8/28/2006,128.18
8/29/2006,128.33
8/30/2006,128.41
8/31/2006,128.39
9/1/2006,129.16
9/5/2006,129.4
9/6/2006,128.26
9/7/2006,127.67
9/8/2006,128.04
9/11/2006,128.16
9/12/2006,129.42
9/13/2006,129.94
9/14/2006,129.95
9/15/2006,130.26
9/18/2006,130.43
9/19/2006,130.11
9/20/2006,130.8
9/21/2006,130.17
9/22/2006,129.77
9/25/2006,130.77
9/26/2006,131.86
9/27/2006,132.01
9/28/2006,131.96
9/29/2006,131.86
10/2/2006,131.36
10/3/2006,131.64
10/4/2006,133.18
